d_loss	g_loss	mae	val_loss	val_mae
0.3203084170818329	0.1594771444797516	0.08711227774620056	0.10057397931814194	0.10057397931814194
0.31799793243408203	0.1691761612892151	0.08605769276618958	0.10182088613510132	0.10182088613510132
0.3177465796470642	0.15172326564788818	0.08606858551502228	0.10097374022006989	0.10097374022006989
0.32000184059143066	0.15483517944812775	0.08592113852500916	0.09892482310533524	0.09892482310533524
0.31766584515571594	0.15167510509490967	0.08474994450807571	0.09780149906873703	0.09780149906873703
0.3190065026283264	0.15950734913349152	0.0842352882027626	0.0975877046585083	0.0975877046585083
0.3189285695552826	0.15064147114753723	0.08396918326616287	0.10366382449865341	0.10366382449865341
0.3182014524936676	0.16034650802612305	0.08305573463439941	0.09934282302856445	0.09934282302856445
0.31849369406700134	0.15956878662109375	0.08267506957054138	0.10038025677204132	0.10038025677204132
0.31676286458969116	0.139924556016922	0.08154556900262833	0.10228356719017029	0.10228356719017029
